id,number,name,type,height,weight,attack,defense,hp,sp_atk,sp_def,speed,total,abilities,weakness,capture_location
1,0001,Bulbasaur,"['grass', 'poison']",0.7,6.9,49.0,49.0,45.0,65.0,65.0,45.0,318.0,['Overgrow'],"['Fire', 'Ice', 'Flying', 'Psychic']","['cerulean-city-area', 'pallet-town-area', 'lumiose-city-area', 'alola-route-2-main']"
2,0002,Ivysaur,"['grass', 'poison']",1.0,13.0,62.0,63.0,60.0,80.0,80.0,60.0,405.0,['Overgrow'],"['Fire', 'Ice', 'Flying', 'Psychic']",[]
3,0003,Venusaur,"['grass', 'poison']",2.0,100.0,82.0,83.0,80.0,100.0,100.0,80.0,525.0,['Overgrow'],"['Fire', 'Ice', 'Flying', 'Psychic']",[]
4,0004,Charmander,['fire'],0.6,8.5,52.0,43.0,39.0,60.0,50.0,65.0,309.0,['Blaze'],"['Water', 'Ground', 'Rock']","['pallet-town-area', 'kanto-route-24-area', 'lumiose-city-area', 'alola-route-3-main']"
5,0005,Charmeleon,['fire'],1.1,19.0,64.0,58.0,58.0,80.0,65.0,80.0,405.0,['Blaze'],"['Water', 'Ground', 'Rock']",[]
6,0006,Charizard,"['fire', 'flying']",1.7,90.5,84.0,78.0,78.0,109.0,85.0,100.0,534.0,['Blaze'],"['Water', 'Electric', 'Rock']",[]
7,0007,Squirtle,['water'],0.5,9.0,48.0,65.0,44.0,50.0,64.0,43.0,314.0,['Torrent'],"['Grass', 'Electric']","['vermilion-city-area', 'pallet-town-area', 'lumiose-city-area', 'seaward-cave-area']"
8,0008,Wartortle,['water'],1.0,22.5,63.0,80.0,59.0,65.0,80.0,58.0,405.0,['Torrent'],"['Grass', 'Electric']",[]
9,0009,Blastoise,['water'],1.6,85.5,83.0,100.0,79.0,85.0,105.0,78.0,530.0,['Torrent'],"['Grass', 'Electric']",[]
10,0010,Caterpie,['bug'],0.3,2.9,30.0,35.0,45.0,20.0,20.0,45.0,195.0,['Shield Dust'],"['Fire', 'Flying', 'Rock']","['eterna-forest-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'johto-route-30-area', 'johto-route-31-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'unknown-all-bugs-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'pattern-bush-area', 'kalos-route-2-area', 'santalune-forest-area', 'azalea-town-area', 'alola-route-1-east', 'alola-route-1-south', 'alola-route-1-west', 'alola-route-5-area', 'lush-jungle-north', 'lush-jungle-south', 'lush-jungle-west', 'melemele-meadow-area']"
