id,name,slug,collectibles_slug,number,height,weight,featured,detailPageURL,ThumbnailImage,ThumbnailAltText,abilities,type,weakness
1,Bulbasaur,bulbasaur,bulbasaur,0001,0.7,6.9,true,/br/pokedex/bulbasaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/001.png,Bulbasaur,Overgrow,"grass, poison","Fire, Ice, Flying, Psychic"
2,Ivysaur,ivysaur,ivysaur,0002,1,13,true,/br/pokedex/ivysaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/002.png,Ivysaur,Overgrow,"grass, poison","Fire, Ice, Flying, Psychic"
3,Venusaur,venusaur,venusaur,0003,2,100,true,/br/pokedex/venusaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/003.png,Venusaur,Overgrow,"grass, poison","Fire, Ice, Flying, Psychic"
4,Charmander,charmander,charmander,0004,0.6,8.5,true,/br/pokedex/charmander,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/004.png,Charmander,Blaze,fire,"Water, Ground, Rock"
5,Charmeleon,charmeleon,charmeleon,0005,1.1,19,true,/br/pokedex/charmeleon,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/005.png,Charmeleon,Blaze,fire,"Water, Ground, Rock"
6,Charizard,charizard,charizard,0006,1.7,90.5,true,/br/pokedex/charizard,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/006.png,Charizard,Blaze,"fire, flying","Water, Electric, Rock"
7,Squirtle,squirtle,squirtle,0007,0.5,9,true,/br/pokedex/squirtle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/007.png,Squirtle,Torrent,water,"Grass, Electric"
8,Wartortle,wartortle,wartortle,0008,1,22.5,true,/br/pokedex/wartortle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/008.png,Wartortle,Torrent,water,"Grass, Electric"
9,Blastoise,blastoise,blastoise,0009,1.6,85.5,true,/br/pokedex/blastoise,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/009.png,Blastoise,Torrent,water,"Grass, Electric"
10,Caterpie,caterpie,caterpie,0010,0.3,2.9,true,/br/pokedex/caterpie,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/010.png,Caterpie,Shield Dust,bug,"Fire, Flying, Rock"
11,Metapod,metapod,metapod,0011,0.7,9.9,true,/br/pokedex/metapod,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/011.png,Metapod,Shed Skin,bug,"Fire, Flying, Rock"
12,Butterfree,butterfree,butterfree,0012,1.1,32,true,/br/pokedex/butterfree,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/012.png,Butterfree,Compound Eyes,"bug, flying","Fire, Electric, Ice, Flying, Rock"
13,Weedle,weedle,weedle,0013,0.3,3.2,true,/br/pokedex/weedle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/013.png,Weedle,Shield Dust,"bug, poison","Fire, Flying, Psychic, Rock"
14,Kakuna,kakuna,kakuna,0014,0.6,10,true,/br/pokedex/kakuna,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/014.png,Kakuna,Shed Skin,"bug, poison","Fire, Flying, Psychic, Rock"
15,Beedrill,beedrill,beedrill,0015,1,29.5,true,/br/pokedex/beedrill,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/015.png,Beedrill,Swarm,"bug, poison","Fire, Flying, Psychic, Rock"
16,Pidgey,pidgey,pidgey,0016,0.3,1.8,true,/br/pokedex/pidgey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/016.png,Pidgey,"Keen Eye, Tangled Feet","normal, flying","Electric, Ice, Rock"
17,Pidgeotto,pidgeotto,pidgeotto,0017,1.1,30,true,/br/pokedex/pidgeotto,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/017.png,Pidgeotto,"Keen Eye, Tangled Feet","normal, flying","Electric, Ice, Rock"
18,Pidgeot,pidgeot,pidgeot,0018,1.5,39.5,true,/br/pokedex/pidgeot,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/018.png,Pidgeot,"Keen Eye, Tangled Feet","normal, flying","Electric, Ice, Rock"
19,Rattata,rattata,rattata,0019,0.3,3.5,true,/br/pokedex/rattata,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/019.png,Rattata,"Run Away, Guts",normal,Fighting
20,Raticate,raticate,raticate,0020,0.7,18.5,true,/br/pokedex/raticate,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/020.png,Raticate,"Run Away, Guts",normal,Fighting
21,Spearow,spearow,spearow,0021,0.3,2,true,/br/pokedex/spearow,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/021.png,Spearow,Keen Eye,"normal, flying","Electric, Ice, Rock"
22,Fearow,fearow,fearow,0022,1.2,38,true,/br/pokedex/fearow,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/022.png,Fearow,Keen Eye,"normal, flying","Electric, Ice, Rock"
23,Ekans,ekans,ekans,0023,2,6.9,true,/br/pokedex/ekans,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/023.png,Ekans,"Shed Skin, Intimidate",poison,"Ground, Psychic"
24,Arbok,arbok,arbok,0024,3.5,65,true,/br/pokedex/arbok,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/024.png,Arbok,"Shed Skin, Intimidate",poison,"Ground, Psychic"
25,Pikachu,pikachu,pikachu,0025,0.4,6,true,/br/pokedex/pikachu,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/025.png,Pikachu,Static,electric,Ground
26,Raichu,raichu,raichu,0026,0.8,30,true,/br/pokedex/raichu,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/026.png,Raichu,Static,electric,Ground
27,Sandshrew,sandshrew,sandshrew,0027,0.6,12,true,/br/pokedex/sandshrew,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/027.png,Sandshrew,Sand Veil,ground,"Water, Grass, Ice"
28,Sandslash,sandslash,sandslash,0028,1,29.5,true,/br/pokedex/sandslash,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/028.png,Sandslash,Sand Veil,ground,"Water, Grass, Ice"
29,Nidoran♀,nidoran-female,nidoran-female,0029,0.4,7,true,/br/pokedex/nidoran-female,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/029.png,Nidoran♀,"Poison Point, Rivalry",poison,"Ground, Psychic"
30,Nidorina,nidorina,nidorina,0030,0.8,20,true,/br/pokedex/nidorina,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/030.png,Nidorina,"Poison Point, Rivalry",poison,"Ground, Psychic"
31,Nidoqueen,nidoqueen,nidoqueen,0031,1.3,60,true,/br/pokedex/nidoqueen,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/031.png,Nidoqueen,"Poison Point, Rivalry","poison, ground","Water, Ice, Ground, Psychic"
32,Nidoran♂,nidoran-male,nidoran-male,0032,0.5,9,true,/br/pokedex/nidoran-male,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/032.png,Nidoran♂,"Poison Point, Rivalry",poison,"Ground, Psychic"
33,Nidorino,nidorino,nidorino,0033,0.9,19.5,true,/br/pokedex/nidorino,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/033.png,Nidorino,"Poison Point, Rivalry",poison,"Ground, Psychic"
34,Nidoking,nidoking,nidoking,0034,1.4,62,true,/br/pokedex/nidoking,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/034.png,Nidoking,"Poison Point, Rivalry","poison, ground","Water, Ice, Ground, Psychic"
35,Clefairy,clefairy,clefairy,0035,0.6,7.5,true,/br/pokedex/clefairy,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/035.png,Clefairy,"Cute Charm, Magic Guard",fairy,"Poison, Steel"
36,Clefable,clefable,clefable,0036,1.3,40,true,/br/pokedex/clefable,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/036.png,Clefable,"Cute Charm, Magic Guard",fairy,"Poison, Steel"
37,Vulpix,vulpix,vulpix,0037,0.6,9.9,true,/br/pokedex/vulpix,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/037.png,Vulpix,Flash Fire,fire,"Water, Ground, Rock"
38,Ninetales,ninetales,ninetales,0038,1.1,19.9,true,/br/pokedex/ninetales,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/038.png,Ninetales,Flash Fire,fire,"Water, Ground, Rock"
39,Jigglypuff,jigglypuff,jigglypuff,0039,0.5,5.5,true,/br/pokedex/jigglypuff,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/039.png,Jigglypuff,"Cute Charm, Competitive","normal, fairy","Poison, Steel"
40,Wigglytuff,wigglytuff,wigglytuff,0040,1,12,true,/br/pokedex/wigglytuff,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/040.png,Wigglytuff,"Cute Charm, Competitive","normal, fairy","Poison, Steel"
